-0.326386,-25.0615
-29.2827,5.19644
25.8638,0.427295
3.25835,-29.1471
0.901947,25.3286
1.86841,25.2237
-25.6084,6.56599
-2.84394,-23.2901
-3.40754,23.3012
0.390829,-23.425
-0.540198,-0.373289
25.3328,0.643305
25.2174,-1.47062
-20.2338,4.93015
29.0061,3.51246
0.532648,25.8894
26.5514,1.28842
-31.706,1.12262
-1.74172,24.5917
-24.5501,2.65085
0.0636442,-26.7101
-18.2316,0.288992
-27.6703,-0.501509
-1.25321,-23.7787
-0.835821,-0.416435
25.006,-2.04222
26.6514,2.27042
-2.24463,-22.2436
-1.91409,-22.2208
29.5497,4.11431
-0.537535,26.2381
25.352,0.421605
25.0743,-0.460457
